#options: 1280x720 fps=19/1 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0x111 me=hex subme=5 brdo=0 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 chroma_qp_offset=0 threads=1 nr=0 decimate=1 mbaff=0 bframes=0 keyint=250 keyint_min=25 scenecut=40 rc=abr bitrate=10000 ratetol=1.0 rceq='blurCplx^(1-qComp)' qcomp=0.60 qpmin=10 qpmax=51 qpstep=4 ip_ratio=1.40
in:47 out:47 type:P q:10.00 itex:3927 ptex:6852 mv:1304 misc:493 imb:11 pmb:86 smb:3503 d:-;
in:48 out:48 type:P q:10.00 itex:1650 ptex:6726 mv:1284 misc:516 imb:13 pmb:96 smb:3491 d:-;
in:49 out:49 type:P q:10.00 itex:1440 ptex:8453 mv:1128 misc:523 imb:19 pmb:98 smb:3483 d:-;
in:50 out:50 type:P q:10.00 itex:140 ptex:6653 mv:1103 misc:536 imb:14 pmb:104 smb:3482 d:-;
in:51 out:51 type:P q:10.00 itex:1461 ptex:6830 mv:1261 misc:560 imb:23 pmb:105 smb:3472 d:-;
in:52 out:52 type:P q:10.00 itex:245 ptex:6618 mv:1059 misc:590 imb:11 pmb:134 smb:3455 d:-;
in:53 out:53 type:P q:10.00 itex:546 ptex:5948 mv:1001 misc:593 imb:11 pmb:135 smb:3454 d:-;
in:54 out:54 type:P q:10.00 itex:640 ptex:6126 mv:1204 misc:686 imb:25 pmb:157 smb:3418 d:-;
in:55 out:55 type:P q:10.00 itex:249 ptex:5833 mv:1104 misc:598 imb:15 pmb:131 smb:3454 d:-;
in:56 out:56 type:P q:10.00 itex:78 ptex:5479 mv:924 misc:599 imb:8 pmb:135 smb:3457 d:-;
in:57 out:57 type:P q:10.00 itex:404 ptex:5492 mv:1184 misc:608 imb:13 pmb:128 smb:3459 d:-;
in:58 out:58 type:P q:10.00 itex:3311 ptex:8264 mv:1307 misc:614 imb:17 pmb:131 smb:3452 d:-;
in:59 out:59 type:P q:10.00 itex:850 ptex:4816 mv:1031 misc:607 imb:14 pmb:135 smb:3451 d:-;
in:60 out:60 type:P q:10.00 itex:2095 ptex:3747 mv:1226 misc:588 imb:23 pmb:123 smb:3454 d:-;
in:61 out:61 type:P q:10.00 itex:1554 ptex:3379 mv:1205 misc:606 imb:21 pmb:122 smb:3457 d:-;
in:62 out:62 type:P q:10.00 itex:4886 ptex:3267 mv:1460 misc:619 imb:28 pmb:121 smb:3451 d:-;
in:63 out:63 type:P q:10.00 itex:1951 ptex:2639 mv:1176 misc:642 imb:31 pmb:114 smb:3455 d:-;
in:64 out:64 type:P q:10.00 itex:3063 ptex:1893 mv:1151 misc:653 imb:25 pmb:139 smb:3436 d:-;
in:65 out:65 type:P q:10.00 itex:1657 ptex:2027 mv:1081 misc:595 imb:16 pmb:118 smb:3466 d:-;
in:66 out:66 type:P q:10.00 itex:2159 ptex:1948 mv:1020 misc:513 imb:23 pmb:64 smb:3513 d:-;
in:67 out:67 type:P q:10.00 itex:2280 ptex:1378 mv:966 misc:536 imb:26 pmb:85 smb:3489 d:-;
in:68 out:68 type:P q:10.00 itex:1727 ptex:3076 mv:962 misc:499 imb:18 pmb:69 smb:3513 d:-;
in:69 out:69 type:P q:10.00 itex:2380 ptex:1633 mv:1149 misc:494 imb:32 pmb:58 smb:3510 d:-;
in:70 out:70 type:P q:10.00 itex:2564 ptex:1940 mv:1127 misc:529 imb:25 pmb:77 smb:3498 d:-;
in:71 out:71 type:P q:10.00 itex:2115 ptex:1548 mv:1104 misc:529 imb:23 pmb:82 smb:3495 d:-;
in:72 out:72 type:P q:10.00 itex:1869 ptex:1684 mv:1160 misc:543 imb:28 pmb:77 smb:3495 d:-;
in:73 out:73 type:P q:10.00 itex:2257 ptex:946 mv:1118 misc:511 imb:24 pmb:72 smb:3504 d:-;
in:74 out:74 type:P q:10.00 itex:1932 ptex:1199 mv:863 misc:462 imb:17 pmb:55 smb:3528 d:-;
in:75 out:75 type:P q:10.00 itex:3290 ptex:838 mv:1168 misc:472 imb:34 pmb:45 smb:3521 d:-;
in:76 out:76 type:P q:10.00 itex:2547 ptex:729 mv:907 misc:473 imb:25 pmb:47 smb:3528 d:-;
in:77 out:77 type:P q:10.00 itex:3832 ptex:733 mv:911 misc:476 imb:22 pmb:55 smb:3523 d:-;
in:78 out:78 type:P q:10.00 itex:2795 ptex:709 mv:1071 misc:473 imb:31 pmb:43 smb:3526 d:-;
in:79 out:79 type:P q:10.00 itex:1855 ptex:958 mv:1009 misc:458 imb:22 pmb:46 smb:3532 d:-;
in:80 out:80 type:P q:10.00 itex:1981 ptex:847 mv:789 misc:463 imb:19 pmb:50 smb:3531 d:-;
in:81 out:81 type:P q:10.00 itex:1901 ptex:1090 mv:980 misc:493 imb:33 pmb:37 smb:3530 d:-;
in:82 out:82 type:P q:10.00 itex:1399 ptex:1350 mv:859 misc:464 imb:26 pmb:47 smb:3527 d:-;
in:83 out:83 type:P q:10.00 itex:1427 ptex:1046 mv:762 misc:453 imb:24 pmb:42 smb:3534 d:-;
in:84 out:84 type:P q:10.00 itex:1521 ptex:776 mv:778 misc:461 imb:31 pmb:32 smb:3537 d:-;
in:85 out:85 type:P q:10.00 itex:1229 ptex:1037 mv:560 misc:438 imb:23 pmb:34 smb:3543 d:-;
in:86 out:86 type:P q:10.00 itex:484 ptex:1329 mv:458 misc:433 imb:16 pmb:33 smb:3551 d:-;
in:87 out:87 type:P q:10.00 itex:2546 ptex:1157 mv:650 misc:423 imb:20 pmb:27 smb:3553 d:-;
in:88 out:88 type:P q:10.00 itex:1140 ptex:736 mv:540 misc:424 imb:16 pmb:29 smb:3555 d:-;
in:89 out:89 type:P q:10.00 itex:1063 ptex:890 mv:353 misc:422 imb:22 pmb:17 smb:3561 d:-;
in:90 out:90 type:P q:10.00 itex:217 ptex:1411 mv:287 misc:477 imb:14 pmb:49 smb:3537 d:-;
in:91 out:91 type:P q:10.00 itex:1205 ptex:157 mv:183 misc:383 imb:12 pmb:12 smb:3576 d:-;
in:92 out:92 type:P q:10.00 itex:1021 ptex:249 mv:120 misc:362 imb:4 pmb:12 smb:3584 d:-;
in:93 out:93 type:P q:10.00 itex:1133 ptex:156 mv:139 misc:364 imb:5 pmb:12 smb:3583 d:-;
in:94 out:94 type:P q:10.00 itex:815 ptex:640 mv:104 misc:369 imb:3 pmb:13 smb:3584 d:-;
in:95 out:95 type:P q:10.00 itex:773 ptex:656 mv:129 misc:378 imb:4 pmb:15 smb:3581 d:-;
in:96 out:96 type:P q:10.00 itex:8535 ptex:26151 mv:855 misc:499 imb:19 pmb:161 smb:3420 d:-;
in:97 out:97 type:P q:10.00 itex:1182 ptex:5941 mv:748 misc:513 imb:7 pmb:71 smb:3522 d:-;
in:98 out:98 type:P q:10.00 itex:3360 ptex:3684 mv:793 misc:507 imb:15 pmb:58 smb:3527 d:-;
in:99 out:99 type:P q:10.00 itex:1521 ptex:4873 mv:709 misc:481 imb:11 pmb:56 smb:3533 d:-;
in:100 out:100 type:P q:10.00 itex:4464 ptex:2630 mv:769 misc:473 imb:17 pmb:54 smb:3529 d:-;
in:101 out:101 type:P q:10.00 itex:8660 ptex:3809 mv:1136 misc:467 imb:17 pmb:64 smb:3519 d:-;
in:102 out:102 type:P q:10.00 itex:560 ptex:7903 mv:1016 misc:529 imb:9 pmb:91 smb:3500 d:-;
in:103 out:103 type:P q:10.00 itex:7848 ptex:4185 mv:1481 misc:566 imb:24 pmb:105 smb:3471 d:-;
in:104 out:104 type:P q:10.00 itex:4126 ptex:6536 mv:1431 misc:563 imb:15 pmb:111 smb:3474 d:-;
in:105 out:105 type:P q:10.00 itex:1103 ptex:7409 mv:1302 misc:562 imb:10 pmb:103 smb:3487 d:-;
in:106 out:106 type:P q:10.00 itex:1595 ptex:8659 mv:1087 misc:571 imb:21 pmb:100 smb:3479 d:-;
in:107 out:107 type:P q:10.00 itex:134 ptex:6544 mv:1106 misc:576 imb:10 pmb:110 smb:3480 d:-;
in:108 out:108 type:P q:10.00 itex:1303 ptex:6920 mv:1139 misc:614 imb:23 pmb:106 smb:3471 d:-;
in:109 out:109 type:P q:10.00 itex:503 ptex:6562 mv:1035 misc:628 imb:12 pmb:134 smb:3454 d:-;
in:110 out:110 type:P q:10.00 itex:626 ptex:6149 mv:1145 misc:640 imb:15 pmb:138 smb:3447 d:-;
in:111 out:111 type:P q:10.00 itex:697 ptex:6113 mv:1286 misc:648 imb:20 pmb:134 smb:3446 d:-;
in:112 out:112 type:P q:10.00 itex:643 ptex:5535 mv:1219 misc:635 imb:16 pmb:131 smb:3453 d:-;
in:113 out:113 type:P q:10.00 itex:90 ptex:5470 mv:942 misc:626 imb:10 pmb:138 smb:3452 d:-;
in:114 out:114 type:P q:10.00 itex:264 ptex:6005 mv:1086 misc:637 imb:14 pmb:131 smb:3455 d:-;
in:115 out:115 type:P q:10.00 itex:5352 ptex:6680 mv:1348 misc:652 imb:24 pmb:128 smb:3448 d:-;
in:116 out:116 type:P q:10.00 itex:717 ptex:4522 mv:1035 misc:654 imb:13 pmb:139 smb:3448 d:-;
in:117 out:117 type:P q:10.00 itex:1949 ptex:4226 mv:1152 misc:657 imb:25 pmb:127 smb:3448 d:-;
in:118 out:118 type:P q:10.00 itex:1559 ptex:3566 mv:1242 misc:625 imb:17 pmb:123 smb:3460 d:-;
in:119 out:119 type:P q:10.00 itex:6250 ptex:3644 mv:1384 misc:666 imb:29 pmb:121 smb:3450 d:-;
in:120 out:120 type:P q:10.00 itex:1807 ptex:2998 mv:1198 misc:685 imb:29 pmb:124 smb:3447 d:-;
in:121 out:121 type:P q:10.00 itex:1945 ptex:2644 mv:1109 misc:662 imb:21 pmb:123 smb:3456 d:-;
in:122 out:122 type:P q:10.00 itex:1641 ptex:2288 mv:1008 misc:639 imb:17 pmb:121 smb:3462 d:-;
in:123 out:123 type:P q:10.00 itex:2913 ptex:1526 mv:1126 misc:547 imb:28 pmb:64 smb:3508 d:-;
in:124 out:124 type:P q:10.00 itex:2247 ptex:1438 mv:1109 misc:526 imb:23 pmb:70 smb:3507 d:-;
in:125 out:125 type:P q:10.00 itex:1809 ptex:3150 mv:1036 misc:549 imb:20 pmb:73 smb:3507 d:-;
in:126 out:126 type:P q:10.00 itex:2441 ptex:1602 mv:1030 misc:543 imb:30 pmb:63 smb:3507 d:-;
in:127 out:127 type:P q:10.00 itex:2443 ptex:1620 mv:1175 misc:546 imb:24 pmb:79 smb:3497 d:-;
in:128 out:128 type:P q:10.00 itex:1940 ptex:1397 mv:883 misc:516 imb:20 pmb:64 smb:3516 d:-;
in:129 out:129 type:P q:10.00 itex:2368 ptex:1257 mv:1050 misc:573 imb:28 pmb:80 smb:3492 d:-;
in:130 out:130 type:P q:10.00 itex:2642 ptex:1180 mv:1095 misc:531 imb:23 pmb:74 smb:3503 d:-;
in:131 out:131 type:P q:10.00 itex:1932 ptex:1066 mv:885 misc:493 imb:19 pmb:59 smb:3522 d:-;
